municipio,K,a,b,c
Abaiara,1007.761,0.165,13.0,0.741
Acarape,1133.407,0.187,17.0,0.784
Acaraú,1045.122,0.178,15.0,0.762
Acopiara,1061.353,0.183,15.0,0.766
Aiuaba,894.137,0.141,11.0,0.711
Alcântaras,985.401,0.158,12.5,0.735
Altaneira,1022.955,0.170,14.0,0.749
Alto Santo,1015.659,0.168,14.0,0.750
Amontada,1051.761,0.179,15.0,0.765
Antonina do Norte,995.820,0.163,14.0,0.742
Apuiarés,1031.782,0.174,14.0,0.757
Aquiraz,1102.455,0.182,16.0,0.775
Aracati,1088.304,0.180,15.8,0.770
Aracoiaba,1121.365,0.186,16.5,0.780
Ararendá,964.604,0.156,13.0,0.733
Araripe,978.225,0.158,13.0,0.733
Aratuba,1071.196,0.183,15.0,0.770
Arneiroz,909.110,0.143,12.0,0.718
Assaré,1028.917,0.171,14.0,0.750
Aurora,1002.822,0.164,13.0,0.740
Baixio,1007.761,0.165,13.0,0.741
Banabuiú,1035.792,0.175,15.0,0.758
Barbalha,1019.231,0.168,13.0,0.742
Barreira,1118.916,0.185,16.0,0.778
Barro,1014.238,0.167,13.0,0.743
Barroquinha,1038.541,0.177,15.0,0.760
Baturité,1093.593,0.181,15.5,0.773
Beberibe,1102.455,0.182,16.0,0.775
Bela Cruz,1045.122,0.178,15.0,0.762
Boa Viagem,1011.085,0.169,14.0,0.750
Brejo Santo,1019.231,0.168,13.0,0.742
Camocim,1031.959,0.175,15.0,0.758
Campos Sales,943.518,0.151,12.0,0.725
Canindé,1038.312,0.175,14.0,0.758
Capistrano,1103.587,0.182,16.0,0.774
Caridade,1048.067,0.178,15.0,0.762
Cariré,1005.153,0.165,13.0,0.745
Caririaçu,1028.188,0.171,14.0,0.750
Cariús,1017.585,0.169,14.0,0.748
Carnaubal,983.565,0.160,13.0,0.737
Cascavel,1090.871,0.181,15.8,0.771
Catarina,957.513,0.155,12.0,0.730
Catunda,982.809,0.161,13.5,0.740
Caucaia,1085.302,0.180,15.5,0.768
Cedro,1028.917,0.171,14.0,0.750
Chaval,1031.959,0.175,15.0,0.758
Choró,1048.067,0.178,15.0,0.762
Chorozinho,1107.447,0.183,16.0,0.776
Coreaú,1012.062,0.167,13.5,0.746
Crateús,957.513,0.155,12.0,0.730
Crato,1028.188,0.171,14.0,0.750
Croatá,989.282,0.162,14.0,0.740
Cruz,1045.122,0.178,15.0,0.762
Deputado Irapuan Pinheiro,1014.316,0.170,14.0,0.748
Ereré,1000.933,0.165,14.0,0.745
Eusébio,1071.742,0.179,15.0,0.765
Farias Brito,1028.188,0.171,14.0,0.750
Forquilha,1005.153,0.165,13.0,0.745
Fortaleza,1058.000,0.180,15.0,0.750
Fortim,1088.304,0.180,15.8,0.770
Frecheirinha,1012.062,0.167,13.5,0.746
General Sampaio,1031.782,0.174,14.0,0.757
Graça,985.401,0.158,12.5,0.735
Granja,1038.541,0.177,15.0,0.760
Granjeiro,1019.231,0.168,13.0,0.742
Groaíras,1005.153,0.165,13.0,0.745
Guaiúba,1085.302,0.180,15.5,0.768
Guaraciaba do Norte,983.565,0.160,13.0,0.737
Guaramiranga,1071.196,0.183,15.0,0.770
Hidrolândia,1000.315,0.165,13.5,0.745
Horizonte,1107.447,0.183,16.0,0.776
Ibaretama,1048.067,0.178,15.0,0.762
Ibiapina,983.565,0.160,13.0,0.737
Ibicuitinga,1041.516,0.177,15.0,0.760
Icapuí,1088.304,0.180,15.8,0.770
Icó,1017.585,0.169,14.0,0.748
Iguatu,1017.585,0.169,14.0,0.748
Independência,957.513,0.155,12.0,0.730
Ipaporanga,957.513,0.155,12.0,0.730
Ipaumirim,1007.761,0.165,13.0,0.741
Ipu,1012.062,0.167,13.5,0.746
Ipueiras,989.282,0.162,14.0,0.740
Iracema,1015.659,0.168,14.0,0.750
Irauçuba,1000.315,0.165,13.5,0.745
Itaiçaba,1088.304,0.180,15.8,0.770
Itaitinga,1085.302,0.180,15.5,0.768
Itapajé,1031.782,0.174,14.0,0.757
Itapipoca,1031.782,0.174,14.0,0.757
Itapiúna,1103.587,0.182,16.0,0.774
Itarema,1051.761,0.179,15.0,0.765
Itatira,1038.312,0.175,14.0,0.758
Jaguaretama,1014.316,0.170,14.0,0.748
Jaguaribara,1015.659,0.168,14.0,0.750
Jaguaribe,1015.659,0.168,14.0,0.750
Jaguaruana,1073.456,0.180,15.5,0.768
Jardim,1019.231,0.168,13.0,0.742
Jati,1019.231,0.168,13.0,0.742
Jijoca de Jericoacoara,1045.122,0.178,15.0,0.762
Jucás,1017.585,0.169,14.0,0.748
Lavras da Mangabeira,1014.238,0.167,13.0,0.743
Limoeiro do Norte,1052.126,0.178,15.0,0.760
Madalena,1038.312,0.175,14.0,0.758
Maracanaú,1071.742,0.179,15.0,0.765
Maranguape,1071.196,0.183,15.0,0.770
Marco,1045.122,0.178,15.0,0.762
Martinópole,1038.541,0.177,15.0,0.760
Massapê,1005.153,0.165,13.0,0.745
Mauriti,1007.761,0.165,13.0,0.741
Meruoca,985.401,0.158,12.5,0.735
Milagres,1014.238,0.167,13.0,0.743
Milhã,1014.316,0.170,14.0,0.748
Miraíma,1031.782,0.174,14.0,0.757
Missão Velha,1019.231,0.168,13.0,0.742
Mombaça,1011.085,0.169,14.0,0.750
Monsenhor Tabosa,982.809,0.161,13.5,0.740
Morada Nova,1065.712,0.178,15.0,0.765
Moraújo,1012.062,0.167,13.5,0.746
Morrinhos,1045.122,0.178,15.0,0.762
Mucambo,1012.062,0.167,13.5,0.746
Mulungu,1071.196,0.183,15.0,0.770
Nova Olinda,1022.955,0.170,14.0,0.749
Nova Russas,989.282,0.162,14.0,0.740
Novo Oriente,957.513,0.155,12.0,0.730
Ocara,1107.447,0.183,16.0,0.776
Orós,1017.585,0.169,14.0,0.748
Pacajus,1107.447,0.183,16.0,0.776
Pacatuba,1071.742,0.179,15.0,0.765
Pacoti,1071.196,0.183,15.0,0.770
Pacujá,1005.153,0.165,13.0,0.745
Palhano,1073.456,0.180,15.5,0.768
Palmácia,1071.196,0.183,15.0,0.770
Paracuru,1085.302,0.180,15.5,0.768
Paraipaba,1085.302,0.180,15.5,0.768
Parambu,909.110,0.143,12.0,0.718
Paramoti,1031.782,0.174,14.0,0.757
Pedra Branca,1011.085,0.169,14.0,0.750
Penaforte,1019.231,0.168,13.0,0.742
Pentecoste,1031.782,0.174,14.0,0.757
Pereiro,1015.659,0.168,14.0,0.750
Pindoretama,1090.871,0.181,15.8,0.771
Piquet Carneiro,1011.085,0.169,14.0,0.750
Pires Ferreira,1012.062,0.167,13.5,0.746
Potengi,978.225,0.158,13.0,0.733
Potiretama,1000.933,0.165,14.0,0.745
Quiterianópolis,957.513,0.155,12.0,0.730
Quixadá,1041.516,0.177,15.0,0.760
Quixelô,1017.585,0.169,14.0,0.748
Quixeramobim,1011.085,0.169,14.0,0.750
Quixeré,1052.126,0.178,15.0,0.760
Redenção,1121.365,0.186,16.5,0.780
Reriutaba,1000.315,0.165,13.5,0.745
Russas,1052.126,0.178,15.0,0.760
Saboeiro,957.513,0.155,12.0,0.730
Salitre,943.518,0.151,12.0,0.725
Santa Quitéria,982.809,0.161,13.5,0.740
Santana do Acaraú,1045.122,0.178,15.0,0.762
Santana do Cariri,1022.955,0.170,14.0,0.749
São Benedito,983.565,0.160,13.0,0.737
São Gonçalo do Amarante,1085.302,0.180,15.5,0.768
São João do Jaguaribe,1015.659,0.168,14.0,0.750
São Luís do Curu,1031.782,0.174,14.0,0.757
Senador Pompeu,1014.316,0.170,14.0,0.748
Senador Sá,1038.541,0.177,15.0,0.760
Sobral,985.401,0.158,12.5,0.735
Solonópole,1014.316,0.170,14.0,0.748
Tabuleiro do Norte,1052.126,0.178,15.0,0.760
Tamboril,982.809,0.161,13.5,0.740
Tarrafas,1028.917,0.171,14.0,0.750
Tauá,909.110,0.143,12.0,0.718
Tejuçuoca,1031.782,0.174,14.0,0.757
Tianguá,983.565,0.160,13.0,0.737
Trairi,1051.761,0.179,15.0,0.765
Tururu,1031.782,0.174,14.0,0.757
Ubajara,983.565,0.160,13.0,0.737
Umari,1007.761,0.165,13.0,0.741
Umirim,1031.782,0.174,14.0,0.757
Uruburetama,1031.782,0.174,14.0,0.757
Uruoca,1012.062,0.167,13.5,0.746
Varjota,1000.315,0.165,13.5,0.745
Várzea Alegre,1028.917,0.171,14.0,0.750
Viçosa do Ceará,983.565,0.160,13.0,0.737
